日期,代码,名称,当前价,涨幅(%),建议止损价,FVG,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-25,000021,深科技,24.8,-0.52,23.45,bull,4.73,38.68,389.78,389.71,31.43
2025-12-25,000036,华联控股,7.1,5.34,6.05,bull,23.88,209.49,99.67,99.48,74.02
2025-12-25,000048,京基智农,14.86,4.65,13.49,bull,3.5,19.84,78.8,78.22,-14.05
2025-12-25,000059,华锦股份,5.14,0.0,4.97,bull,1.42,-4.42,82.21,82.21,7.76
2025-12-25,000063,中兴通讯,38.11,-0.42,35.55,bull,2.46,25.69,1823.01,1534.93,-4.2
2025-12-25,000159,国际实业,5.78,-0.86,5.45,bull,3.37,103.62,27.78,27.78,-3.67
2025-12-25,000403,派林生物,13.92,-0.64,13.33,bull,1.46,27.78,132.3,130.95,-12.89
2025-12-25,000488,ST晨鸣,2.23,1.36,2.1,bull,2.49,-0.82,65.59,37.49,-26.89
2025-12-25,000513,丽珠集团,35.15,0.2,34.38,bull,0.57,13.59,317.79,205.39,-4.79
2025-12-25,000519,中兵红箭,17.68,1.03,16.78,bull,1.75,-313.93,246.2,246.2,22.35
2025-12-25,000534,万泽股份,24.15,2.33,20.96,bull,4.07,54.31,123.06,120.74,88.38
2025-12-25,000547,航天发展,25.6,2.69,21.78,bull,33.26,-62.78,409.21,406.81,250.21
2025-12-25,000551,创元科技,16.68,10.03,14.33,bull,27.38,27.75,80.85,80.56,68.83
2025-12-25,000559,万向钱潮,13.44,9.98,11.47,bull,4.53,43.22,445.58,445.47,125.13
2025-12-25,000565,渝三峡Ａ,7.8,2.5,7.28,bull,3.49,153.81,33.82,33.82,44.44
2025-12-25,000576,甘化科工,10.51,1.06,9.97,bull,1.73,44.37,45.87,45.59,44.77
2025-12-25,000599,青岛双星,6.43,2.39,5.86,bull,2.58,-15.11,52.52,52.52,44.82
2025-12-25,000608,*ST阳光,2.57,0.0,2.39,bull,2.16,-20.06,19.27,19.16,14.22
2025-12-25,000617,中油资本,9.58,3.46,8.94,bull,1.83,22.73,1211.11,1211.11,41.51
2025-12-25,000632,三木集团,6.31,-2.92,5.35,bull,27.06,-16.12,29.37,29.37,71.93
2025-12-25,000636,风华高科,16.48,0.24,15.27,bull,2.11,62.59,190.68,190.68,16.06
2025-12-25,000668,*ST荣控,10.25,1.18,9.28,bull,3.09,-41.19,15.05,15.05,59.41
2025-12-25,000672,上峰水泥,11.97,1.01,10.98,bull,2.19,16.48,116.04,116.04,70.27
2025-12-25,000681,视觉中国,22.14,0.73,20.59,bull,4.61,156.54,155.11,149.7,6.44
2025-12-25,000677,恒天海龙,4.5,-0.66,4.21,bull,8.17,1061.19,38.88,38.88,9.76
2025-12-25,000682,东方电子,11.94,0.42,11.41,bull,0.92,24.25,160.08,160.06,12.32
2025-12-25,000701,厦门信达,6.93,1.17,6.21,bull,6.65,529.19,46.83,46.26,51.64
2025-12-25,000703,恒逸石化,9.71,3.96,8.44,bull,2.12,113.53,349.81,347.96,55.86
2025-12-25,000712,锦龙股份,12.13,1.34,11.47,bull,1.82,53.57,108.68,108.65,-19.78
2025-12-25,000733,振华科技,51.6,0.04,49.62,bull,3.7,34.41,285.95,285.91,22.89
2025-12-25,000777,中核科技,23.46,9.99,19.97,bull,12.68,60.47,89.95,89.95,31.21
2025-12-25,000811,冰轮环境,18.06,1.92,16.42,bull,4.79,31.4,179.24,176.7,95.45
2025-12-25,000815,美利云,11.32,0.18,10.78,bull,1.24,182.51,78.7,78.7,-1.14
2025-12-25,000830,鲁西化工,16.67,3.8,15.05,bull,2.08,23.27,317.45,317.42,47.0
2025-12-25,000881,中广核技,8.98,0.9,8.21,bull,3.46,-62.53,84.9,75.57,22.51
2025-12-25,000880,潍柴重机,27.87,-0.29,26.17,bull,6.58,51.89,129.27,63.27,129.38
2025-12-25,000887,中鼎股份,22.95,1.01,21.77,bull,2.84,17.34,302.13,301.65,77.63
2025-12-25,000923,河钢资源,20.08,-0.25,18.7,bull,1.77,18.28,131.07,126.08,49.85
2025-12-25,000967,盈峰环境,7.3,4.73,6.71,bull,1.62,36.79,231.19,231.08,52.72
2025-12-25,000977,浪潮信息,66.33,-0.26,62.45,bull,3.04,49.29,974.04,972.95,28.25
2025-12-25,001212,中旗新材,54.23,10.0,45.6,bull,8.35,2203.41,108.71,94.0,225.12
2025-12-25,001229,魅视科技,38.61,1.61,35.43,bull,2.77,73.81,39.56,20.34,9.91
2025-12-25,001236,弘业期货,10.67,0.19,10.2,bull,1.21,3859.23,107.53,80.89,10.8
2025-12-25,001256,炜冈科技,21.35,1.62,20.07,bull,0.76,28.15,30.45,30.17,35.99
2025-12-25,001260,坤泰股份,20.38,1.09,19.22,bull,3.24,47.07,23.44,6.47,29.4
2025-12-25,001298,好上好,29.97,1.08,28.17,bull,4.09,135.74,88.95,49.33,73.94
2025-12-25,001287,中电港,22.53,0.04,21.16,bull,4.6,49.85,171.21,98.54,11.53
2025-12-25,001308,康冠科技,20.83,0.29,20.21,bull,0.29,21.86,146.53,103.41,-22.74
2025-12-25,001309,德明利,217.27,-1.69,195.77,bull,13.05,-1365.45,492.96,349.54,250.04
2025-12-25,001316,润贝航科,38.93,2.21,35.23,bull,6.87,28.5,44.81,43.33,93.59
2025-12-25,001324,长青科技,18.3,0.83,17.37,bull,1.89,51.65,25.25,14.94,7.71
2025-12-25,001322,箭牌家居,9.31,1.97,8.71,bull,1.05,207.49,90.04,73.14,16.96
2025-12-25,001331,胜通能源,38.27,10.0,35.89,bull,1.64,182.48,108.01,64.25,386.9
2025-12-25,001339,智微智能,49.22,1.34,46.59,bull,2.0,71.11,124.15,58.76,34.81
2025-12-25,001373,翔腾新材,31.14,2.91,28.56,bull,9.75,-87.78,21.39,10.32,6.21
2025-12-25,001378,德冠新材,23.1,0.52,22.28,bull,1.56,38.83,30.8,15.19,3.73
2025-12-25,001380,华纬科技,22.77,1.29,21.65,bull,2.28,22.61,61.67,20.04,56.07
2025-12-25,001400,江顺科技,74.56,10.0,63.08,bull,32.49,51.26,44.74,11.18,103.94
2025-12-25,002006,精工科技,21.88,3.94,19.67,bull,4.26,58.93,113.73,113.73,33.82
2025-12-25,002008,大族激光,41.78,0.48,38.69,bull,3.66,37.37,430.17,399.72,69.42
2025-12-25,002011,盾安环境,12.9,-0.62,12.41,bull,1.61,13.53,138.63,118.58,19.33
2025-12-25,002012,凯恩股份,6.6,3.29,6.02,bull,4.9,132.86,30.86,30.81,27.91
2025-12-25,002015,协鑫能科,10.24,-0.29,9.75,bull,1.46,16.36,166.23,166.23,33.68
2025-12-25,002026,山东威达,15.04,4.88,13.31,bull,6.77,21.63,66.26,63.62,54.89
2025-12-25,002034,旺能环境,16.13,0.12,15.75,bull,0.44,9.52,70.0,69.65,7.46
2025-12-25,002067,景兴纸业,5.68,4.99,5.01,bull,14.63,153.76,83.77,75.98,43.43
2025-12-25,002080,中材科技,39.57,-1.96,36.1,bull,3.11,33.66,664.03,664.03,207.7
2025-12-25,002079,苏州固锝,9.61,0.21,9.2,bull,1.33,93.46,77.9,77.83,-6.24
2025-12-25,002082,万邦德,13.42,10.0,11.19,bull,4.0,1378.01,82.09,74.25,108.71
2025-12-25,002092,中泰化学,4.72,-0.84,4.53,bull,0.88,-51.16,122.25,121.57,9.51
2025-12-25,002111,威海广泰,10.32,1.67,9.67,bull,1.94,32.49,54.9,49.66,-4.88
2025-12-25,002119,康强电子,16.86,0.66,16.03,bull,2.85,49.22,63.27,63.27,9.13
2025-12-25,002117,东港股份,13.61,3.26,12.55,bull,4.04,43.42,71.28,71.26,18.66
2025-12-25,002126,银轮股份,38.84,6.27,34.4,bull,5.07,36.58,327.67,307.83,108.82
2025-12-25,002134,天津普林,26.5,3.84,23.68,bull,13.3,323.22,65.15,65.11,38.02
2025-12-25,002139,拓邦股份,13.68,1.41,13.14,bull,1.73,30.43,170.57,146.51,1.03
2025-12-25,002138,顺络电子,36.78,0.0,34.62,bull,1.87,28.92,296.56,278.24,19.07
2025-12-25,002149,西部材料,46.2,10.0,37.9,bull,26.0,244.27,225.55,225.52,165.52
2025-12-25,002152,广电运通,12.61,1.12,12.19,bull,0.99,39.0,313.15,313.0,10.03
2025-12-25,002158,汉钟精机,25.28,-3.1,23.9,bull,2.4,25.88,135.18,134.89,40.91
2025-12-25,002161,远 望 谷,7.26,1.26,6.87,bull,1.49,27.84,53.71,51.16,30.58
2025-12-25,002163,海南发展,20.68,6.87,17.54,bull,38.88,-35.92,174.74,166.17,121.18
2025-12-25,002166,莱茵生物,9.43,-1.46,8.54,bull,11.55,74.51,69.93,69.77,27.95
2025-12-25,002173,创新医疗,22.06,1.47,20.18,bull,10.32,1545.38,97.35,91.84,177.14
2025-12-25,002174,游族网络,12.68,0.88,11.8,bull,4.05,122.48,124.69,124.62,35.61
2025-12-25,002190,成飞集成,37.22,2.25,34.56,bull,3.45,-290.14,133.52,133.52,92.45
2025-12-25,002195,岩山科技,6.87,0.0,6.54,bull,1.74,160.04,389.57,384.81,73.05
2025-12-25,002197,证通电子,11.1,10.01,9.24,bull,10.2,-77.54,68.19,59.27,174.75
2025-12-25,002201,九鼎新材,11.32,10.01,10.69,bull,1.08,73.25,73.77,68.15,118.53
2025-12-25,002208,合肥城建,11.35,-0.53,10.19,bull,4.77,-174.2,91.17,91.15,59.63
2025-12-25,002209,达 意 隆,16.64,3.48,15.25,bull,9.29,24.06,33.12,26.01,80.28
2025-12-25,002213,大为股份,27.09,1.31,24.2,bull,17.8,-641.11,64.33,56.0,99.93
2025-12-25,002225,濮耐股份,6.04,-0.17,5.61,bull,3.21,55.36,70.02,58.84,22.76
2025-12-25,002228,合兴包装,6.55,10.08,5.97,bull,1.14,37.34,79.48,79.21,131.45
2025-12-25,002236,大华股份,19.08,-0.1,18.42,bull,1.14,13.3,627.11,403.73,24.22
2025-12-25,002241,歌尔股份,28.73,-0.9,26.91,bull,2.62,29.53,1018.66,901.68,12.58
2025-12-25,002245,蔚蓝锂芯,18.38,4.14,16.47,bull,11.28,31.0,212.07,199.45,72.91
2025-12-25,002248,华东数控,11.33,1.98,10.41,bull,3.75,113.01,34.84,34.84,45.44
2025-12-25,002253,*ST智胜,11.6,4.98,10.52,bull,3.98,-30.38,26.17,24.16,-16.06
2025-12-25,002254,泰和新材,9.88,2.07,9.37,bull,1.62,171.37,84.68,80.89,5.67
2025-12-25,002264,新 华 都,10.35,9.99,8.46,bull,8.85,31.4,74.5,67.77,70.23
2025-12-25,002273,水晶光电,25.01,-0.71,23.76,bull,1.59,26.53,347.8,340.69,14.1
2025-12-25,002276,万马股份,16.54,2.41,15.38,bull,4.83,30.46,167.23,166.6,96.67
2025-12-25,002278,神开股份,12.24,1.24,11.13,bull,12.64,88.44,44.54,40.88,131.82
2025-12-25,002284,亚太股份,15.6,-2.07,14.75,bull,5.89,26.33,115.3,114.07,102.86
2025-12-25,002289,*ST宇顺,31.14,4.99,28.21,bull,0.99,-552.69,87.27,87.18,774.72
2025-12-25,002290,禾盛新材,42.91,1.49,39.63,bull,1.45,55.42,106.47,106.16,150.94
2025-12-25,002291,遥望科技,6.4,-0.16,5.97,bull,3.27,-10.83,59.87,55.62,1.43
2025-12-25,002297,博云新材,12.39,10.04,11.32,bull,4.15,177.3,71.01,71.01,80.09
2025-12-25,002296,辉煌科技,11.01,0.36,10.54,bull,2.23,19.79,42.89,38.25,14.57
2025-12-25,002298,中电鑫龙,10.49,0.0,9.77,bull,4.84,213.58,77.64,69.3,97.18
2025-12-25,002303,美盈森,4.2,0.48,4.0,bull,3.5,18.54,64.32,40.61,24.26
2025-12-25,002306,*ST云网,2.13,4.93,1.91,bull,10.69,-68.93,18.53,17.34,-26.04
2025-12-25,002319,乐通股份,12.23,1.75,10.89,bull,4.63,-4081.23,25.62,24.46,15.05
2025-12-25,002328,新朋股份,6.86,0.88,6.45,bull,2.96,28.02,52.94,39.16,14.52
2025-12-25,002324,普利特,14.64,1.53,13.21,bull,7.93,37.57,162.85,113.65,54.43
2025-12-25,002335,科华数据,56.6,-0.54,52.26,bull,5.92,63.51,291.72,257.34,96.39
2025-12-25,002337,赛象科技,6.58,3.3,5.99,bull,5.78,58.47,38.73,38.69,32.93
2025-12-25,002342,巨力索具,7.65,2.14,6.92,bull,11.03,497.87,73.44,73.03,136.84
2025-12-25,002361,神剑股份,11.97,10.02,10.93,bull,9.67,281.59,113.84,96.85,121.67
2025-12-25,002363,隆基机械,10.31,10.03,9.64,bull,1.05,77.75,42.98,42.86,58.37
2025-12-25,002364,中恒电气,27.01,-2.39,24.43,bull,11.24,157.31,152.22,150.74,152.67
2025-12-25,002370,亚太药业,7.54,2.86,6.92,bull,6.24,43.38,56.22,56.22,147.21
2025-12-25,002373,千方科技,11.79,1.64,10.98,bull,3.25,73.95,186.3,162.42,16.27
2025-12-25,002383,合众思壮,11.74,3.25,10.75,bull,24.0,831.59,86.92,86.92,48.98
2025-12-25,002384,东山精密,85.88,2.12,76.55,bull,4.49,96.44,1572.98,1190.57,194.82
2025-12-25,002391,长青股份,6.0,1.01,5.7,bull,1.04,55.9,38.98,27.85,19.76
2025-12-25,002392,北京利尔,7.71,0.92,7.28,bull,1.05,19.79,91.79,88.19,64.39
2025-12-25,002398,垒知集团,6.21,0.32,5.7,bull,7.1,33.33,43.35,35.35,44.08
2025-12-25,002406,远东传动,7.93,3.93,7.33,bull,4.81,45.55,57.91,47.76,25.87
2025-12-25,002407,多氟多,34.12,-0.12,30.11,bull,16.37,390.28,406.18,368.68,188.91
2025-12-25,002416,爱施德,12.12,0.0,11.7,bull,1.1,33.41,150.2,148.34,-23.15
2025-12-22,002420,毅昌科技,8.43,5.64,7.53,bull,0.0,68.29,34.67,33.68,59.66
2025-12-25,002423,中粮资本,11.91,1.71,11.41,bull,0.97,20.07,274.42,274.42,-9.98
2025-12-25,002426,胜利精密,3.61,2.85,3.22,bull,9.61,-126.03,122.83,122.83,34.7
2025-12-25,002427,尤夫股份,6.69,-1.47,6.33,bull,5.72,254.91,65.93,65.88,92.24
2025-12-25,002429,兆驰股份,7.49,0.81,6.93,bull,4.3,25.42,339.07,338.87,32.1
2025-12-25,002436,兴森科技,20.93,-1.32,19.34,bull,3.61,202.91,355.74,316.15,88.9
2025-12-25,002441,众业达,9.29,1.75,8.8,bull,1.54,20.97,50.59,37.07,27.61
2025-12-25,002440,闰土股份,7.75,0.65,7.4,bull,1.0,29.03,87.11,73.34,18.14
2025-12-25,002449,国星光电,8.47,0.24,8.12,bull,1.32,126.26,52.39,52.39,-37.58
2025-12-25,002452,长高电新,8.35,0.48,7.96,bull,2.76,19.16,51.8,43.08,14.23
2025-12-25,002459,晶澳科技,11.63,1.75,10.8,bull,1.28,-8.13,384.92,384.46,-15.42
2025-12-25,002471,中超控股,5.69,3.64,5.07,bull,33.42,-233.81,77.88,75.99,108.42
2025-12-25,002472,双环传动,44.6,4.57,40.59,bull,3.66,31.63,378.91,336.82,47.58
2025-12-25,002484,江海股份,30.42,-2.53,28.35,bull,4.45,36.28,258.73,249.59,75.64
2025-12-25,002489,浙江永强,4.03,0.0,3.84,bull,1.95,9.66,87.41,77.1,25.94
2025-12-25,002530,金财互联,10.26,0.2,9.72,bull,3.73,104.24,79.95,71.32,9.03
2025-12-25,002546,新联电子,7.14,0.14,6.8,bull,2.46,8.35,59.55,57.21,69.6
2025-12-25,002553,南方精工,27.11,2.88,25.12,bull,7.02,19.6,95.81,67.99,112.46
2025-12-25,002559,亚威股份,10.11,1.4,9.62,bull,2.54,40.83,55.58,50.59,13.6
2025-12-25,002560,通达股份,10.67,10.0,9.03,bull,8.55,31.88,56.1,48.33,56.45
2025-12-25,002569,*ST步森,11.82,4.97,10.53,bull,1.28,-225.36,17.02,16.54,12.89
2025-12-25,002587,奥拓电子,6.75,1.2,6.35,bull,2.57,208.24,43.98,35.54,12.88
2025-12-25,002592,ST八菱,7.69,5.05,7.21,bull,4.77,17.49,21.79,20.2,66.81
2025-12-25,002593,日上集团,6.46,5.73,5.66,bull,21.05,49.83,51.93,36.1,28.69
2025-12-25,002598,山东章鼓,10.88,2.35,10.01,bull,2.66,41.1,33.95,30.62,16.36
2025-12-25,002601,龙佰集团,19.06,0.9,18.07,bull,1.66,20.35,454.44,378.84,11.66
2025-12-25,002606,大连电瓷,9.01,0.45,8.67,bull,1.55,25.71,39.56,37.94,-1.96
2025-12-25,002623,亚玛顿,18.28,0.77,17.3,bull,0.91,-45.81,36.39,36.31,22.27
2025-12-25,002631,德尔未来,6.22,5.78,5.46,bull,8.49,-52.46,49.59,49.36,40.41
2025-12-25,002651,利君股份,11.86,4.77,10.5,bull,7.41,105.46,122.57,67.06,63.14
2025-12-25,002655,共达电声,12.86,0.31,12.15,bull,4.57,55.3,46.54,46.53,1.26
2025-12-25,002657,中科金财,27.72,1.09,25.83,bull,7.62,-63.18,94.26,93.17,51.31
2025-12-25,002669,康达新材,15.05,1.14,13.76,bull,6.91,40.75,45.66,45.56,56.28
2025-12-25,002670,国盛证券,17.1,0.06,16.28,bull,1.48,102.53,330.9,277.59,30.63
2025-12-25,002686,亿利达,6.64,0.15,6.19,bull,2.1,78.35,37.6,34.71,24.11
2025-12-25,002701,奥瑞金,6.18,-0.16,5.89,bull,1.77,11.02,158.19,158.05,11.35
2025-12-25,002708,光洋股份,13.12,3.39,12.25,bull,5.35,86.98,73.75,67.44,17.77
2025-12-25,002745,木林森,9.87,0.3,9.21,bull,3.55,52.51,146.49,105.08,13.84
2025-12-25,002752,昇兴股份,8.01,-2.79,7.03,bull,11.95,27.1,78.25,78.24,28.16
2025-12-25,002759,天际股份,45.0,6.84,34.86,bull,34.0,-166.76,225.62,225.42,413.11
2025-12-25,002761,浙江建投,8.61,-0.12,8.4,bull,0.58,46.29,93.14,93.14,-1.37
2025-12-25,002765,蓝黛科技,12.11,-0.57,11.5,bull,4.07,34.73,78.97,72.16,41.64
2025-12-25,002771,真视通,15.11,0.13,14.43,bull,1.46,-45.05,31.7,26.37,-14.0
2025-12-25,002779,中坚科技,114.56,1.91,103.08,bull,2.18,705.73,211.71,189.95,136.25
2025-12-25,002782,可立克,18.95,-1.51,17.78,bull,2.42,30.34,93.99,92.19,51.6
2025-12-25,002789,*ST建艺,10.0,5.04,8.68,bull,2.43,-3.5,15.96,15.65,9.29
2025-12-25,002795,永和智控,6.84,3.01,6.0,bull,6.44,-37.82,30.49,29.75,67.65
2025-12-25,002796,世嘉科技,28.5,-0.11,25.18,bull,19.99,-105.74,71.92,64.9,154.01
2025-12-25,002801,微光股份,34.92,2.83,32.63,bull,2.58,20.68,80.19,40.44,45.74
2025-12-25,002803,吉宏股份,17.1,-0.18,16.12,bull,5.35,26.79,77.02,49.38,38.46
2025-12-25,002811,郑中设计,14.66,2.88,13.38,bull,2.88,24.99,45.15,41.5,80.32
2025-12-25,002824,和胜股份,19.13,2.63,17.46,bull,4.45,44.52,59.53,36.19,23.18
2025-12-25,002829,星网宇达,30.1,0.13,27.41,bull,21.76,122.25,62.55,43.96,58.76
2025-12-25,002827,高争民爆,39.7,-4.75,37.24,bull,7.29,65.45,109.99,109.57,58.23
2025-12-25,002837,英维克,110.81,-0.32,101.54,bull,8.4,203.37,1082.12,942.1,258.38
2025-12-25,002841,视源股份,38.98,0.28,37.39,bull,0.62,23.47,271.31,203.22,7.59
2025-12-25,002846,英联股份,16.55,1.72,15.46,bull,4.19,147.36,69.51,42.54,101.34
2025-12-25,002845,同兴达,14.39,-0.62,13.69,bull,2.6,-229.82,47.13,36.01,-4.83
2025-12-25,002848,*ST高斯,8.3,1.47,7.55,bull,2.87,-24.76,13.87,13.69,9.5
2025-12-25,002851,麦格米特,92.47,-1.93,85.03,bull,6.53,179.42,508.66,423.39,50.58
2025-12-25,002860,星帅尔,13.72,0.29,12.85,bull,1.97,20.91,49.35,47.97,41.3
2025-12-25,002863,今飞凯达,5.96,1.71,5.54,bull,3.64,36.94,35.73,35.73,29.0
2025-12-25,002866,传艺科技,17.69,0.11,16.63,bull,2.84,55.76,51.22,32.07,9.33
2025-12-25,002871,伟隆股份,16.79,-1.7,15.67,bull,5.19,30.85,42.29,25.08,80.54
2025-12-25,002876,三利谱,23.44,0.21,22.46,bull,1.03,67.94,40.76,34.91,-8.11
2025-12-25,002882,金龙羽,31.7,1.83,29.58,bull,3.83,98.02,137.23,78.22,100.89
2025-12-25,002886,沃特股份,20.39,1.29,19.28,bull,2.66,133.72,53.67,42.63,22.98
2025-12-25,002903,宇环数控,22.37,2.15,20.31,bull,4.12,858.89,35.05,23.86,38.34
2025-12-25,002909,集泰股份,7.79,-4.42,7.16,bull,30.57,-528.53,30.38,29.63,59.96
2025-12-25,002921,联诚精密,15.58,2.77,14.35,bull,3.34,-151.57,23.21,20.02,42.41
2025-12-25,002922,伊戈尔,33.14,-1.4,30.15,bull,3.72,59.07,140.25,123.88,89.16
2025-12-25,002927,泰永长征,20.39,1.19,17.9,bull,12.58,102.62,45.51,45.01,38.33
2025-12-25,002931,锋龙股份,21.65,10.01,19.86,bull,0.39,164.88,47.31,43.57,33.56
2025-12-25,002938,鹏鼎控股,51.93,-1.78,48.26,bull,0.96,37.5,1203.76,1199.26,46.36
2025-12-25,002947,恒铭达,56.28,8.27,49.74,bull,14.4,26.51,144.19,108.41,71.9
2025-12-25,002953,日丰股份,11.74,0.0,11.18,bull,2.24,31.14,57.71,24.97,17.87
2025-12-25,002949,华阳国际,15.5,5.59,13.82,bull,8.19,32.28,30.39,23.54,-11.28
2025-12-25,002956,西麦食品,26.74,1.83,24.58,bull,1.49,33.9,59.7,59.69,64.55
2025-12-25,002957,科瑞技术,22.63,2.03,21.05,bull,5.8,28.87,95.04,94.75,45.81
2025-12-25,002961,瑞达期货,29.0,-0.72,26.05,bull,8.47,25.57,131.53,131.53,107.29
